id,tag,name,parent_id,stem,extension,path,size,owner,group,created,accessed,modified,owner_perm,group_perm,other_perm
9768633,Directory,cpython,,cpython,,/Users/starver/code/public/cpython,1120,501,20,1545241637,1545673345,1545241637,7,5,5
9770924,File,CODE_OF_CONDUCT.md,9768633,CODE_OF_CONDUCT,md,/Users/starver/code/public/cpython/CODE_OF_CONDUCT.md,609,501,20,1545241636,1545267129,1545241636,6,4,4
9775969,File,install-sh,9768633,install-sh,,/Users/starver/code/public/cpython/install-sh,15368,501,20,1545241637,1545241637,1545241637,7,5,5
9775968,File,configure.ac,9768633,configure,ac,/Users/starver/code/public/cpython/configure.ac,162570,501,20,1545241637,1545267152,1545241637,6,4,4
9773910,File,Makefile.pre.in,9768633,Makefile.pre,in,/Users/starver/code/public/cpython/Makefile.pre.in,64646,501,20,1545241637,1545267147,1545241637,6,4,4
9771637,File,LICENSE,9768633,LICENSE,,/Users/starver/code/public/cpython/LICENSE,12763,501,20,1545241636,1545267137,1545241636,6,4,4
9775967,File,configure,9768633,configure,,/Users/starver/code/public/cpython/configure,495202,501,20,1545241637,1545241664,1545241637,7,5,5
9775965,File,config.guess,9768633,config,guess,/Users/starver/code/public/cpython/config.guess,44166,501,20,1545241637,1545267152,1545241637,7,5,5
9775973,File,pyconfig.h.in,9768633,pyconfig.h,in,/Users/starver/code/public/cpython/pyconfig.h.in,43657,501,20,1545241637,1545267152,1545241637,6,4,4
9775966,File,config.sub,9768633,config,sub,/Users/starver/code/public/cpython/config.sub,36251,501,20,1545241637,1545267152,1545241637,7,5,5
9775974,File,setup.py,9768633,setup,py,/Users/starver/code/public/cpython/setup.py,101533,501,20,1545241637,1545267152,1545241637,6,4,4
9770922,File,.gitignore,9768633,.gitignore,,/Users/starver/code/public/cpython/.gitignore,1590,501,20,1545241636,1545241636,1545241636,6,4,4
9770915,File,.gitattributes,9768633,.gitattributes,,/Users/starver/code/public/cpython/.gitattributes,1600,501,20,1545241636,1545241636,1545241636,6,4,4
9775623,File,README.rst,9768633,README,rst,/Users/starver/code/public/cpython/README.rst,10064,501,20,1545241637,1545267151,1545241637,6,4,4
9770923,File,.travis.yml,9768633,.travis,yml,/Users/starver/code/public/cpython/.travis.yml,8095,501,20,1545241636,1545241636,1545241636,6,4,4
9775964,File,aclocal.m4,9768633,aclocal,m4,/Users/starver/code/public/cpython/aclocal.m4,10996,501,20,1545241637,1545267152,1545241637,6,4,4
9775304,Directory,PC,9768633,PC,,/Users/starver/code/public/cpython/PC,1440,501,20,1545241637,1545673345,1545241637,7,5,5
9773911,Directory,Misc,9768633,Misc,,/Users/starver/code/public/cpython/Misc,768,501,20,1545241637,1545673345,1545241637,7,5,5
9771506,Directory,Grammar,9768633,Grammar,,/Users/starver/code/public/cpython/Grammar,96,501,20,1545241636,1545673345,1545241636,7,5,5
9771507,File,Grammar,9771506,Grammar,,/Users/starver/code/public/cpython/Grammar/Grammar,6520,501,20,1545241636,1545267137,1545241636,6,4,4
9775624,Directory,Tools,9768633,Tools,,/Users/starver/code/public/cpython/Tools,768,501,20,1545241637,1545673345,1545241637,7,5,5
9770904,Directory,.azure-pipelines,9768633,.azure-pipelines,,/Users/starver/code/public/cpython/.azure-pipelines,384,501,20,1545241636,1545673345,1545241636,7,5,5
9770906,File,docker-steps.yml,9770904,docker-steps,yml,/Users/starver/code/public/cpython/.azure-pipelines/docker-steps.yml,2258,501,20,1545241636,1545241636,1545241636,6,4,4
9770907,File,docs-steps.yml,9770904,docs-steps,yml,/Users/starver/code/public/cpython/.azure-pipelines/docs-steps.yml,1351,501,20,1545241636,1545241636,1545241636,6,4,4
9770910,File,posix-steps.yml,9770904,posix-steps,yml,/Users/starver/code/public/cpython/.azure-pipelines/posix-steps.yml,1964,501,20,1545241636,1545241636,1545241636,6,4,4
9770911,File,pr.yml,9770904,pr,yml,/Users/starver/code/public/cpython/.azure-pipelines/pr.yml,1882,501,20,1545241636,1545241636,1545241636,6,4,4
9770914,File,windows-steps.yml,9770904,windows-steps,yml,/Users/starver/code/public/cpython/.azure-pipelines/windows-steps.yml,1242,501,20,1545241636,1545241636,1545241636,6,4,4
9770908,File,macos-steps.yml,9770904,macos-steps,yml,/Users/starver/code/public/cpython/.azure-pipelines/macos-steps.yml,724,501,20,1545241636,1545241636,1545241636,6,4,4
9770909,File,posix-deps.sh,9770904,posix-deps,sh,/Users/starver/code/public/cpython/.azure-pipelines/posix-deps.sh,590,501,20,1545241636,1545241636,1545241636,7,5,5
9770913,File,windows-appx-test.yml,9770904,windows-appx-test,yml,/Users/starver/code/public/cpython/.azure-pipelines/windows-appx-test.yml,2197,501,20,1545241636,1545241636,1545241636,6,4,4
9770912,File,prebuild-checks.yml,9770904,prebuild-checks,yml,/Users/starver/code/public/cpython/.azure-pipelines/prebuild-checks.yml,1218,501,20,1545241636,1545241636,1545241636,6,4,4
9770905,File,ci.yml,9770904,ci,yml,/Users/starver/code/public/cpython/.azure-pipelines/ci.yml,2753,501,20,1545241636,1545241636,1545241636,6,4,4
9775540,Directory,Python,9768633,Python,,/Users/starver/code/public/cpython/Python,2464,501,20,1545241637,1545673345,1545241637,7,5,5
9771508,Directory,Include,9768633,Include,,/Users/starver/code/public/cpython/Include,3328,501,20,1545241636,1545673345,1545241636,7,5,5
9775213,Directory,Objects,9768633,Objects,,/Users/starver/code/public/cpython/Objects,1664,501,20,1545241637,1545673345,1545241637,7,5,5
9775512,Directory,Parser,9768633,Parser,,/Users/starver/code/public/cpython/Parser,768,501,20,1545241637,1545241637,1545241637,7,5,5
9773821,Directory,Mac,9768633,Mac,,/Users/starver/code/public/cpython/Mac,352,501,20,1545241637,1545673345,1545241637,7,5,5
9775535,Directory,Programs,9768633,Programs,,/Users/starver/code/public/cpython/Programs,192,501,20,1545241637,1545673345,1545241637,7,5,5
9775537,File,_freeze_importlib.c,9775535,_freeze_importlib,c,/Users/starver/code/public/cpython/Programs/_freeze_importlib.c,4722,501,20,1545241637,1545267151,1545241637,6,4,4
9775538,File,_testembed.c,9775535,_testembed,c,/Users/starver/code/public/cpython/Programs/_testembed.c,19671,501,20,1545241637,1545267151,1545241637,6,4,4
9775539,File,python.c,9775535,python,c,/Users/starver/code/public/cpython/Programs/python.c,298,501,20,1545241637,1545267151,1545241637,6,4,4
9775536,File,README,9775535,README,,/Users/starver/code/public/cpython/Programs/README,67,501,20,1545241637,1545267151,1545241637,6,4,4
9775403,Directory,PCbuild,9768633,PCbuild,,/Users/starver/code/public/cpython/PCbuild,3520,501,20,1545241637,1545673345,1545241637,7,5,5
9770916,Directory,.github,9768633,.github,,/Users/starver/code/public/cpython/.github,224,501,20,1545241636,1545673345,1545241636,7,5,5
9770921,File,codecov.yml,9770916,codecov,yml,/Users/starver/code/public/cpython/.github/codecov.yml,482,501,20,1545241636,1545241636,1545241636,6,4,4
9770918,File,CONTRIBUTING.rst,9770916,CONTRIBUTING,rst,/Users/starver/code/public/cpython/.github/CONTRIBUTING.rst,2412,501,20,1545241636,1545241636,1545241636,6,4,4
9770917,File,CODEOWNERS,9770916,CODEOWNERS,,/Users/starver/code/public/cpython/.github/CODEOWNERS,2144,501,20,1545241636,1545241636,1545241636,6,4,4
9770919,File,PULL_REQUEST_TEMPLATE.md,9770916,PULL_REQUEST_TEMPLATE,md,/Users/starver/code/public/cpython/.github/PULL_REQUEST_TEMPLATE.md,700,501,20,1545241636,1545241636,1545241636,6,4,4
9770920,File,appveyor.yml,9770916,appveyor,yml,/Users/starver/code/public/cpython/.github/appveyor.yml,1148,501,20,1545241636,1545241636,1545241636,6,4,4
9771638,Directory,Lib,9768633,Lib,,/Users/starver/code/public/cpython/Lib,6528,501,20,1545241637,1545673345,1545241637,7,5,5
9775970,Directory,m4,9768633,m4,,/Users/starver/code/public/cpython/m4,128,501,20,1545241637,1545241637,1545241637,7,5,5
9775972,File,ax_check_openssl.m4,9775970,ax_check_openssl,m4,/Users/starver/code/public/cpython/m4/ax_check_openssl.m4,4189,501,20,1545241637,1545267152,1545241637,6,4,4
